Date,recovered,confirmed,deaths,country
2020-01-22,0,0,0,afghanistan
2020-01-23,0,0,0,afghanistan
2020-01-24,0,0,0,afghanistan
2020-01-25,0,0,0,afghanistan
2020-01-26,0,0,0,afghanistan
2020-01-27,0,0,0,afghanistan
2020-01-28,0,0,0,afghanistan
2020-01-29,0,0,0,afghanistan
2020-01-30,0,0,0,afghanistan
2020-01-31,0,0,0,afghanistan
2020-02-01,0,0,0,afghanistan
2020-02-02,0,0,0,afghanistan
2020-02-03,0,0,0,afghanistan
2020-02-04,0,0,0,afghanistan
2020-02-05,0,0,0,afghanistan
2020-02-06,0,0,0,afghanistan
2020-02-07,0,0,0,afghanistan
2020-02-08,0,0,0,afghanistan
2020-02-09,0,0,0,afghanistan
2020-02-10,0,0,0,afghanistan
2020-02-11,0,0,0,afghanistan
2020-02-12,0,0,0,afghanistan
2020-02-13,0,0,0,afghanistan
2020-02-14,0,0,0,afghanistan
2020-02-15,0,0,0,afghanistan
2020-02-16,0,0,0,afghanistan
2020-02-17,0,0,0,afghanistan
2020-02-18,0,0,0,afghanistan
2020-02-19,0,0,0,afghanistan
2020-02-20,0,0,0,afghanistan
2020-02-21,0,0,0,afghanistan
2020-02-22,0,0,0,afghanistan
2020-02-23,0,0,0,afghanistan
2020-02-24,0,1,0,afghanistan
2020-02-25,0,1,0,afghanistan
2020-02-26,0,1,0,afghanistan
2020-02-27,0,1,0,afghanistan
2020-02-28,0,1,0,afghanistan
2020-02-29,0,1,0,afghanistan
2020-03-01,0,1,0,afghanistan
2020-03-02,0,1,0,afghanistan
2020-03-03,0,1,0,afghanistan
2020-03-04,0,1,0,afghanistan
2020-03-05,0,1,0,afghanistan
2020-03-06,0,1,0,afghanistan
2020-03-07,0,1,0,afghanistan
2020-03-08,0,4,0,afghanistan
2020-03-09,0,4,0,afghanistan
2020-03-10,0,5,0,afghanistan
2020-03-11,0,7,0,afghanistan
2020-03-12,0,7,0,afghanistan
2020-03-13,0,7,0,afghanistan
2020-03-14,0,11,0,afghanistan
2020-03-15,0,16,0,afghanistan
2020-03-16,1,21,0,afghanistan
2020-03-17,1,22,0,afghanistan
2020-03-18,1,22,0,afghanistan
2020-03-19,1,22,0,afghanistan
2020-03-20,1,24,0,afghanistan
2020-03-21,1,24,0,afghanistan
2020-03-22,1,40,1,afghanistan
2020-03-23,1,40,1,afghanistan
2020-03-24,1,74,1,afghanistan
2020-03-25,2,84,2,afghanistan
2020-03-26,2,94,4,afghanistan
2020-03-27,2,110,4,afghanistan
2020-03-28,2,110,4,afghanistan
2020-03-29,2,120,4,afghanistan
2020-03-30,2,170,4,afghanistan
2020-03-31,5,174,4,afghanistan
2020-04-01,5,237,4,afghanistan
2020-04-02,10,273,6,afghanistan
2020-04-03,10,281,6,afghanistan
2020-04-04,10,299,7,afghanistan
2020-04-05,15,349,7,afghanistan
2020-04-06,18,367,11,afghanistan
2020-04-07,18,423,14,afghanistan
2020-04-08,29,444,14,afghanistan
2020-04-09,32,484,15,afghanistan
2020-04-10,32,521,15,afghanistan
2020-04-11,32,555,18,afghanistan
2020-04-12,32,607,18,afghanistan
2020-04-13,32,607,18,afghanistan
