Date,deaths,confirmed,recovered,country
2020-01-22,0,0,0,algeria
2020-01-23,0,0,0,algeria
2020-01-24,0,0,0,algeria
2020-01-25,0,0,0,algeria
2020-01-26,0,0,0,algeria
2020-01-27,0,0,0,algeria
2020-01-28,0,0,0,algeria
2020-01-29,0,0,0,algeria
2020-01-30,0,0,0,algeria
2020-01-31,0,0,0,algeria
2020-02-01,0,0,0,algeria
2020-02-02,0,0,0,algeria
2020-02-03,0,0,0,algeria
2020-02-04,0,0,0,algeria
2020-02-05,0,0,0,algeria
2020-02-06,0,0,0,algeria
2020-02-07,0,0,0,algeria
2020-02-08,0,0,0,algeria
2020-02-09,0,0,0,algeria
2020-02-10,0,0,0,algeria
2020-02-11,0,0,0,algeria
2020-02-12,0,0,0,algeria
2020-02-13,0,0,0,algeria
2020-02-14,0,0,0,algeria
2020-02-15,0,0,0,algeria
2020-02-16,0,0,0,algeria
2020-02-17,0,0,0,algeria
2020-02-18,0,0,0,algeria
2020-02-19,0,0,0,algeria
2020-02-20,0,0,0,algeria
2020-02-21,0,0,0,algeria
2020-02-22,0,0,0,algeria
2020-02-23,0,0,0,algeria
2020-02-24,0,0,0,algeria
2020-02-25,0,1,0,algeria
2020-02-26,0,1,0,algeria
2020-02-27,0,1,0,algeria
2020-02-28,0,1,0,algeria
2020-02-29,0,1,0,algeria
2020-03-01,0,1,0,algeria
2020-03-02,0,3,0,algeria
2020-03-03,0,5,0,algeria
2020-03-04,0,12,0,algeria
2020-03-05,0,12,0,algeria
2020-03-06,0,17,0,algeria
2020-03-07,0,17,0,algeria
2020-03-08,0,19,0,algeria
2020-03-09,0,20,0,algeria
2020-03-10,0,20,0,algeria
2020-03-11,0,20,0,algeria
2020-03-12,1,24,8,algeria
2020-03-13,2,26,8,algeria
2020-03-14,3,37,12,algeria
2020-03-15,4,48,12,algeria
2020-03-16,4,54,12,algeria
2020-03-17,4,60,12,algeria
2020-03-18,7,74,12,algeria
2020-03-19,9,87,32,algeria
2020-03-20,11,90,32,algeria
2020-03-21,15,139,32,algeria
2020-03-22,17,201,65,algeria
2020-03-23,17,230,65,algeria
2020-03-24,19,264,24,algeria
2020-03-25,21,302,65,algeria
2020-03-26,25,367,29,algeria
2020-03-27,26,409,29,algeria
2020-03-28,29,454,31,algeria
2020-03-29,31,511,31,algeria
2020-03-30,35,584,37,algeria
2020-03-31,44,716,46,algeria
2020-04-01,58,847,61,algeria
2020-04-02,86,986,61,algeria
2020-04-03,105,1171,62,algeria
2020-04-04,130,1251,90,algeria
2020-04-05,152,1320,90,algeria
2020-04-06,173,1423,90,algeria
2020-04-07,193,1468,113,algeria
2020-04-08,205,1572,237,algeria
2020-04-09,235,1666,347,algeria
2020-04-10,256,1761,405,algeria
2020-04-11,275,1825,460,algeria
2020-04-12,293,1914,591,algeria
2020-04-13,293,1914,591,algeria
