Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,australia
2020-01-23,0,0,0,australia
2020-01-24,0,0,0,australia
2020-01-25,0,0,0,australia
2020-01-26,0,0,4,australia
2020-01-27,0,0,5,australia
2020-01-28,0,0,5,australia
2020-01-29,0,0,6,australia
2020-01-30,2,0,9,australia
2020-01-31,2,0,9,australia
2020-02-01,2,0,12,australia
2020-02-02,2,0,12,australia
2020-02-03,2,0,12,australia
2020-02-04,2,0,13,australia
2020-02-05,2,0,13,australia
2020-02-06,2,0,14,australia
2020-02-07,2,0,15,australia
2020-02-08,2,0,15,australia
2020-02-09,2,0,15,australia
2020-02-10,2,0,15,australia
2020-02-11,2,0,15,australia
2020-02-12,2,0,15,australia
2020-02-13,8,0,15,australia
2020-02-14,8,0,15,australia
2020-02-15,8,0,15,australia
2020-02-16,8,0,15,australia
2020-02-17,10,0,15,australia
2020-02-18,10,0,15,australia
2020-02-19,10,0,15,australia
2020-02-20,10,0,15,australia
2020-02-21,11,0,15,australia
2020-02-22,11,0,15,australia
2020-02-23,11,0,15,australia
2020-02-24,11,0,15,australia
2020-02-25,11,0,15,australia
2020-02-26,11,0,15,australia
2020-02-27,11,0,15,australia
2020-02-28,11,0,15,australia
2020-02-29,11,0,25,australia
2020-03-01,11,1,27,australia
2020-03-02,11,1,30,australia
2020-03-03,11,1,39,australia
2020-03-04,11,2,52,australia
2020-03-05,21,2,55,australia
2020-03-06,21,2,60,australia
2020-03-07,21,2,63,australia
2020-03-08,21,3,76,australia
2020-03-09,21,3,91,australia
2020-03-10,21,3,107,australia
2020-03-11,21,3,128,australia
2020-03-12,21,3,128,australia
2020-03-13,23,3,200,australia
2020-03-14,23,3,250,australia
2020-03-15,23,3,297,australia
2020-03-16,23,3,377,australia
2020-03-17,23,5,452,australia
2020-03-18,23,6,568,australia
2020-03-19,26,6,681,australia
2020-03-20,26,7,791,australia
2020-03-21,26,7,1071,australia
2020-03-22,88,7,1549,australia
2020-03-23,88,7,1682,australia
2020-03-24,115,8,2044,australia
2020-03-25,119,8,2364,australia
2020-03-26,172,13,2810,australia
2020-03-27,194,13,3143,australia
2020-03-28,244,14,3640,australia
2020-03-29,244,16,3984,australia
2020-03-30,257,17,4361,australia
2020-03-31,358,18,4559,australia
2020-04-01,422,20,4862,australia
2020-04-02,520,24,5116,australia
2020-04-03,649,28,5330,australia
2020-04-04,701,30,5550,australia
2020-04-05,757,35,5687,australia
2020-04-06,1080,40,5797,australia
2020-04-07,1080,45,5895,australia
2020-04-08,1080,50,6010,australia
2020-04-09,1472,51,6108,australia
2020-04-10,1793,54,6215,australia
2020-04-11,1806,57,6303,australia
2020-04-12,1806,60,6315,australia
2020-04-13,4,25,2863,australia
