Date,deaths,confirmed,recovered,country
2020-01-22,17,548,28,china
2020-01-23,18,643,30,china
2020-01-24,26,920,36,china
2020-01-25,42,1406,39,china
2020-01-26,56,2075,49,china
2020-01-27,82,2877,58,china
2020-01-28,131,5509,101,china
2020-01-29,133,6087,120,china
2020-01-30,171,8141,135,china
2020-01-31,213,9802,214,china
2020-02-01,259,11891,275,china
2020-02-02,361,16630,463,china
2020-02-03,425,19716,614,china
2020-02-04,491,23707,843,china
2020-02-05,563,27440,1115,china
2020-02-06,633,30587,1477,china
2020-02-07,718,34110,1999,china
2020-02-08,805,36814,2596,china
2020-02-09,905,39829,3219,china
2020-02-10,1012,42354,3918,china
2020-02-11,1112,44386,4636,china
2020-02-12,1117,44759,5082,china
2020-02-13,1369,59895,6217,china
2020-02-14,1521,66358,7977,china
2020-02-15,1663,68413,9298,china
2020-02-16,1766,70513,10755,china
2020-02-17,1864,72434,12462,china
2020-02-18,2003,74211,14206,china
2020-02-19,2116,74619,15962,china
2020-02-20,2238,75077,18014,china
2020-02-21,2238,75550,18704,china
2020-02-22,2443,77001,22699,china
2020-02-23,2445,77022,23187,china
2020-02-24,2595,77241,25015,china
2020-02-25,2665,77754,27676,china
2020-02-26,2717,78166,30084,china
2020-02-27,2746,78600,32930,china
2020-02-28,2790,78928,36329,china
2020-02-29,2837,79356,39320,china
2020-03-01,2872,79932,42162,china
2020-03-02,2914,80136,44854,china
2020-03-03,2947,80261,47450,china
2020-03-04,2983,80386,50001,china
2020-03-05,3015,80537,52292,china
2020-03-06,3044,80690,53944,china
2020-03-07,3072,80770,55539,china
2020-03-08,3100,80823,57388,china
2020-03-09,3123,80860,58804,china
2020-03-10,3139,80887,60181,china
2020-03-11,3161,80921,61644,china
2020-03-12,3172,80932,62901,china
2020-03-13,3180,80945,64196,china
2020-03-14,3193,80977,65660,china
2020-03-15,3203,81003,67017,china
2020-03-16,3217,81033,67910,china
2020-03-17,3230,81058,68798,china
2020-03-18,3241,81102,69755,china
2020-03-19,3249,81156,70535,china
2020-03-20,3253,81250,71266,china
2020-03-21,3259,81305,71857,china
2020-03-22,3274,81435,72362,china
2020-03-23,3274,81498,72814,china
2020-03-24,3281,81591,73280,china
2020-03-25,3285,81661,73773,china
2020-03-26,3291,81782,74181,china
2020-03-27,3296,81897,74720,china
2020-03-28,3299,81999,75100,china
2020-03-29,3304,82122,75582,china
2020-03-30,3308,82198,75923,china
2020-03-31,3309,82279,76206,china
2020-04-01,3316,82361,76405,china
2020-04-02,3322,82432,76565,china
2020-04-03,3326,82511,76760,china
2020-04-04,3330,82543,76946,china
2020-04-05,3333,82602,77207,china
2020-04-06,3335,82665,77310,china
2020-04-07,3335,82718,77410,china
2020-04-08,3337,82809,77567,china
2020-04-09,3339,82883,77679,china
