Date,deaths,confirmed,recovered,country
2020-01-22,0,0,0,france
2020-01-23,0,0,0,france
2020-01-24,0,2,0,france
2020-01-25,0,3,0,france
2020-01-26,0,3,0,france
2020-01-27,0,3,0,france
2020-01-28,0,4,0,france
2020-01-29,0,5,0,france
2020-01-30,0,5,0,france
2020-01-31,0,5,0,france
2020-02-01,0,6,0,france
2020-02-02,0,6,0,france
2020-02-03,0,6,0,france
2020-02-04,0,6,0,france
2020-02-05,0,6,0,france
2020-02-06,0,6,0,france
2020-02-07,0,6,0,france
2020-02-08,0,11,0,france
2020-02-09,0,11,0,france
2020-02-10,0,11,0,france
2020-02-11,0,11,0,france
2020-02-12,0,11,2,france
2020-02-13,0,11,2,france
2020-02-14,0,11,2,france
2020-02-15,1,12,4,france
2020-02-16,1,12,4,france
2020-02-17,1,12,4,france
2020-02-18,1,12,4,france
2020-02-19,1,12,4,france
2020-02-20,1,12,4,france
2020-02-21,1,12,4,france
2020-02-22,1,12,4,france
2020-02-23,1,12,4,france
2020-02-24,1,12,4,france
2020-02-25,1,14,11,france
2020-02-26,2,18,11,france
2020-02-27,2,38,11,france
2020-02-28,2,57,11,france
2020-02-29,2,100,12,france
2020-03-01,2,130,12,france
2020-03-02,3,191,12,france
2020-03-03,4,204,12,france
2020-03-04,4,285,12,france
2020-03-05,6,377,12,france
2020-03-06,9,653,12,france
2020-03-07,11,949,12,france
2020-03-08,19,1126,12,france
2020-03-09,19,1209,12,france
2020-03-10,33,1784,12,france
2020-03-11,48,2281,12,france
2020-03-12,48,2281,12,france
2020-03-13,79,3661,12,france
2020-03-14,91,4469,12,france
2020-03-15,91,4499,12,france
2020-03-16,148,6633,12,france
2020-03-17,148,7652,12,france
2020-03-18,148,9043,12,france
2020-03-19,243,10871,12,france
2020-03-20,450,12612,12,france
2020-03-21,562,14282,12,france
2020-03-22,674,16018,2200,france
2020-03-23,860,19856,2200,france
2020-03-24,1100,22304,3243,france
2020-03-25,1331,25233,3900,france
2020-03-26,1696,29155,4948,france
2020-03-27,1995,32964,5700,france
2020-03-28,2314,37575,5700,france
2020-03-29,2606,40174,7202,france
2020-03-30,3024,44550,7927,france
2020-03-31,3523,52128,9444,france
2020-04-01,4032,56989,10934,france
2020-04-02,5387,59105,12428,france
2020-04-03,6507,64338,14008,france
2020-04-04,7560,89953,15438,france
2020-04-05,8078,92839,16183,france
2020-04-06,8911,98010,17250,france
2020-04-07,10328,109069,19337,france
2020-04-08,10869,112950,21254,france
2020-04-09,12210,117749,23206,france
2020-04-10,13197,124869,24932,france
