Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,iceland
2020-01-23,0,0,0,iceland
2020-01-24,0,0,0,iceland
2020-01-25,0,0,0,iceland
2020-01-26,0,0,0,iceland
2020-01-27,0,0,0,iceland
2020-01-28,0,0,0,iceland
2020-01-29,0,0,0,iceland
2020-01-30,0,0,0,iceland
2020-01-31,0,0,0,iceland
2020-02-01,0,0,0,iceland
2020-02-02,0,0,0,iceland
2020-02-03,0,0,0,iceland
2020-02-04,0,0,0,iceland
2020-02-05,0,0,0,iceland
2020-02-06,0,0,0,iceland
2020-02-07,0,0,0,iceland
2020-02-08,0,0,0,iceland
2020-02-09,0,0,0,iceland
2020-02-10,0,0,0,iceland
2020-02-11,0,0,0,iceland
2020-02-12,0,0,0,iceland
2020-02-13,0,0,0,iceland
2020-02-14,0,0,0,iceland
2020-02-15,0,0,0,iceland
2020-02-16,0,0,0,iceland
2020-02-17,0,0,0,iceland
2020-02-18,0,0,0,iceland
2020-02-19,0,0,0,iceland
2020-02-20,0,0,0,iceland
2020-02-21,0,0,0,iceland
2020-02-22,0,0,0,iceland
2020-02-23,0,0,0,iceland
2020-02-24,0,0,0,iceland
2020-02-25,0,0,0,iceland
2020-02-26,0,0,0,iceland
2020-02-27,0,0,0,iceland
2020-02-28,0,0,1,iceland
2020-02-29,0,0,1,iceland
2020-03-01,0,0,3,iceland
2020-03-02,0,0,6,iceland
2020-03-03,0,0,11,iceland
2020-03-04,0,0,26,iceland
2020-03-05,0,0,34,iceland
2020-03-06,0,0,43,iceland
2020-03-07,0,0,50,iceland
2020-03-08,0,0,50,iceland
2020-03-09,0,0,58,iceland
2020-03-10,1,0,69,iceland
2020-03-11,1,0,85,iceland
2020-03-12,1,0,103,iceland
2020-03-13,1,0,134,iceland
2020-03-14,1,0,156,iceland
2020-03-15,8,5,171,iceland
2020-03-16,0,0,180,iceland
2020-03-17,0,1,220,iceland
2020-03-18,5,1,250,iceland
2020-03-19,5,1,330,iceland
2020-03-20,5,0,409,iceland
2020-03-21,22,1,473,iceland
2020-03-22,36,1,568,iceland
2020-03-23,36,1,588,iceland
2020-03-24,51,2,648,iceland
2020-03-25,56,2,737,iceland
2020-03-26,82,2,802,iceland
2020-03-27,97,2,890,iceland
2020-03-28,114,2,963,iceland
2020-03-29,135,2,1020,iceland
2020-03-30,157,2,1086,iceland
2020-03-31,198,2,1135,iceland
2020-04-01,225,2,1220,iceland
2020-04-02,284,4,1319,iceland
2020-04-03,309,4,1364,iceland
2020-04-04,396,4,1417,iceland
2020-04-05,428,4,1486,iceland
2020-04-06,460,6,1562,iceland
2020-04-07,559,6,1586,iceland
2020-04-08,633,6,1616,iceland
2020-04-09,688,6,1648,iceland
2020-04-10,751,7,1675,iceland
2020-04-11,841,8,1689,iceland
2020-04-12,889,8,1701,iceland
2020-04-13,889,8,1701,iceland
