Date,deaths,confirmed,recovered,country
2020-01-22,0,0,0,italy
2020-01-23,0,0,0,italy
2020-01-24,0,0,0,italy
2020-01-25,0,0,0,italy
2020-01-26,0,0,0,italy
2020-01-27,0,0,0,italy
2020-01-28,0,0,0,italy
2020-01-29,0,0,0,italy
2020-01-30,0,0,0,italy
2020-01-31,0,2,0,italy
2020-02-01,0,2,0,italy
2020-02-02,0,2,0,italy
2020-02-03,0,2,0,italy
2020-02-04,0,2,0,italy
2020-02-05,0,2,0,italy
2020-02-06,0,2,0,italy
2020-02-07,0,3,0,italy
2020-02-08,0,3,0,italy
2020-02-09,0,3,0,italy
2020-02-10,0,3,0,italy
2020-02-11,0,3,0,italy
2020-02-12,0,3,0,italy
2020-02-13,0,3,0,italy
2020-02-14,0,3,0,italy
2020-02-15,0,3,0,italy
2020-02-16,0,3,0,italy
2020-02-17,0,3,0,italy
2020-02-18,0,3,0,italy
2020-02-19,0,3,0,italy
2020-02-20,0,3,0,italy
2020-02-21,1,20,0,italy
2020-02-22,2,62,1,italy
2020-02-23,3,155,2,italy
2020-02-24,7,229,1,italy
2020-02-25,10,322,1,italy
2020-02-26,12,453,3,italy
2020-02-27,17,655,45,italy
2020-02-28,21,888,46,italy
2020-02-29,29,1128,46,italy
2020-03-01,34,1694,83,italy
2020-03-02,52,2036,149,italy
2020-03-03,79,2502,160,italy
2020-03-04,107,3089,276,italy
2020-03-05,148,3858,414,italy
2020-03-06,197,4636,523,italy
2020-03-07,233,5883,589,italy
2020-03-08,366,7375,622,italy
2020-03-09,463,9172,724,italy
2020-03-10,631,10149,724,italy
2020-03-11,827,12462,1045,italy
2020-03-12,827,12462,1045,italy
2020-03-13,1266,17660,1439,italy
2020-03-14,1441,21157,1966,italy
2020-03-15,1809,24747,2335,italy
2020-03-16,2158,27980,2749,italy
2020-03-17,2503,31506,2941,italy
2020-03-18,2978,35713,4025,italy
2020-03-19,3405,41035,4440,italy
2020-03-20,4032,47021,4440,italy
2020-03-21,4825,53578,6072,italy
2020-03-22,5476,59138,7024,italy
2020-03-23,6077,63927,7024,italy
2020-03-24,6820,69176,8326,italy
2020-03-25,7503,74386,9362,italy
2020-03-26,8215,80589,10361,italy
2020-03-27,9134,86498,10950,italy
2020-03-28,10023,92472,12384,italy
2020-03-29,10779,97689,13030,italy
2020-03-30,11591,101739,14620,italy
2020-03-31,12428,105792,15729,italy
2020-04-01,13155,110574,16847,italy
2020-04-02,13915,115242,18278,italy
2020-04-03,14681,119827,19758,italy
2020-04-04,15362,124632,20996,italy
2020-04-05,15887,128948,21815,italy
2020-04-06,16523,132547,22837,italy
2020-04-07,17127,135586,24392,italy
2020-04-08,17669,139422,26491,italy
2020-04-09,18279,143626,28470,italy
2020-04-10,18849,147577,30455,italy
