Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,russia
2020-01-23,0,0,0,russia
2020-01-24,0,0,0,russia
2020-01-25,0,0,0,russia
2020-01-26,0,0,0,russia
2020-01-27,0,0,0,russia
2020-01-28,0,0,0,russia
2020-01-29,0,0,0,russia
2020-01-30,0,0,0,russia
2020-01-31,0,0,2,russia
2020-02-01,0,0,2,russia
2020-02-02,0,0,2,russia
2020-02-03,0,0,2,russia
2020-02-04,0,0,2,russia
2020-02-05,0,0,2,russia
2020-02-06,0,0,2,russia
2020-02-07,0,0,2,russia
2020-02-08,0,0,2,russia
2020-02-09,0,0,2,russia
2020-02-10,0,0,2,russia
2020-02-11,0,0,2,russia
2020-02-12,2,0,2,russia
2020-02-13,2,0,2,russia
2020-02-14,2,0,2,russia
2020-02-15,2,0,2,russia
2020-02-16,2,0,2,russia
2020-02-17,2,0,2,russia
2020-02-18,2,0,2,russia
2020-02-19,2,0,2,russia
2020-02-20,2,0,2,russia
2020-02-21,2,0,2,russia
2020-02-22,2,0,2,russia
2020-02-23,2,0,2,russia
2020-02-24,2,0,2,russia
2020-02-25,2,0,2,russia
2020-02-26,2,0,2,russia
2020-02-27,2,0,2,russia
2020-02-28,2,0,2,russia
2020-02-29,2,0,2,russia
2020-03-01,2,0,2,russia
2020-03-02,2,0,3,russia
2020-03-03,2,0,3,russia
2020-03-04,2,0,3,russia
2020-03-05,2,0,4,russia
2020-03-06,2,0,13,russia
2020-03-07,2,0,13,russia
2020-03-08,3,0,17,russia
2020-03-09,3,0,17,russia
2020-03-10,3,0,20,russia
2020-03-11,3,0,20,russia
2020-03-12,3,0,28,russia
2020-03-13,3,0,45,russia
2020-03-14,8,0,59,russia
2020-03-15,8,0,63,russia
2020-03-16,8,0,90,russia
2020-03-17,8,0,114,russia
2020-03-18,8,0,147,russia
2020-03-19,9,1,199,russia
2020-03-20,9,1,253,russia
2020-03-21,12,1,306,russia
2020-03-22,16,1,367,russia
2020-03-23,16,1,438,russia
2020-03-24,22,1,495,russia
2020-03-25,29,3,658,russia
2020-03-26,38,3,840,russia
2020-03-27,45,4,1036,russia
2020-03-28,49,4,1264,russia
2020-03-29,64,8,1534,russia
2020-03-30,66,9,1836,russia
2020-03-31,121,17,2337,russia
2020-04-01,190,24,2777,russia
2020-04-02,235,30,3548,russia
2020-04-03,281,34,4149,russia
2020-04-04,333,43,4731,russia
2020-04-05,355,45,5389,russia
2020-04-06,406,47,6343,russia
2020-04-07,494,58,7497,russia
2020-04-08,580,63,8672,russia
2020-04-09,698,76,10131,russia
2020-04-10,795,94,11917,russia
2020-04-11,1045,106,13584,russia
2020-04-12,1291,130,15770,russia
2020-04-13,1291,130,15770,russia
