Date,recovered,deaths,confirmed,country
2020-01-22,0,0,2,thailand
2020-01-23,0,0,3,thailand
2020-01-24,0,0,5,thailand
2020-01-25,0,0,7,thailand
2020-01-26,2,0,8,thailand
2020-01-27,2,0,8,thailand
2020-01-28,5,0,14,thailand
2020-01-29,5,0,14,thailand
2020-01-30,5,0,14,thailand
2020-01-31,5,0,19,thailand
2020-02-01,5,0,19,thailand
2020-02-02,5,0,19,thailand
2020-02-03,5,0,19,thailand
2020-02-04,5,0,25,thailand
2020-02-05,5,0,25,thailand
2020-02-06,5,0,25,thailand
2020-02-07,5,0,25,thailand
2020-02-08,10,0,32,thailand
2020-02-09,10,0,32,thailand
2020-02-10,10,0,32,thailand
2020-02-11,10,0,33,thailand
2020-02-12,10,0,33,thailand
2020-02-13,12,0,33,thailand
2020-02-14,12,0,33,thailand
2020-02-15,12,0,33,thailand
2020-02-16,14,0,34,thailand
2020-02-17,15,0,35,thailand
2020-02-18,15,0,35,thailand
2020-02-19,15,0,35,thailand
2020-02-20,15,0,35,thailand
2020-02-21,17,0,35,thailand
2020-02-22,17,0,35,thailand
2020-02-23,21,0,35,thailand
2020-02-24,21,0,35,thailand
2020-02-25,22,0,37,thailand
2020-02-26,22,0,40,thailand
2020-02-27,22,0,40,thailand
2020-02-28,28,0,41,thailand
2020-02-29,28,0,42,thailand
2020-03-01,28,1,42,thailand
2020-03-02,31,1,43,thailand
2020-03-03,31,1,43,thailand
2020-03-04,31,1,43,thailand
2020-03-05,31,1,47,thailand
2020-03-06,31,1,48,thailand
2020-03-07,31,1,50,thailand
2020-03-08,31,1,50,thailand
2020-03-09,31,1,50,thailand
2020-03-10,33,1,53,thailand
2020-03-11,34,1,59,thailand
2020-03-12,34,1,70,thailand
2020-03-13,35,1,75,thailand
2020-03-14,35,1,82,thailand
2020-03-15,35,1,114,thailand
2020-03-16,35,1,147,thailand
2020-03-17,41,1,177,thailand
2020-03-18,42,1,212,thailand
2020-03-19,42,1,272,thailand
2020-03-20,42,1,322,thailand
2020-03-21,42,1,411,thailand
2020-03-22,44,1,599,thailand
2020-03-23,44,1,721,thailand
2020-03-24,52,4,827,thailand
2020-03-25,70,4,934,thailand
2020-03-26,88,4,1045,thailand
2020-03-27,97,5,1136,thailand
2020-03-28,97,6,1245,thailand
2020-03-29,97,7,1388,thailand
2020-03-30,229,9,1524,thailand
2020-03-31,342,10,1651,thailand
2020-04-01,505,12,1771,thailand
2020-04-02,505,15,1875,thailand
2020-04-03,612,19,1978,thailand
2020-04-04,674,20,2067,thailand
2020-04-05,793,23,2169,thailand
2020-04-06,793,26,2220,thailand
2020-04-07,888,27,2258,thailand
2020-04-08,888,30,2369,thailand
2020-04-09,940,32,2423,thailand
2020-04-10,1013,33,2473,thailand
2020-04-11,1135,35,2518,thailand
2020-04-12,1218,38,2551,thailand
2020-04-13,1218,38,2551,thailand
