Date,deaths,confirmed,recovered,country
2020-01-22,0,0,0,united-kingdom
2020-01-23,0,0,0,united-kingdom
2020-01-24,0,0,0,united-kingdom
2020-01-25,0,0,0,united-kingdom
2020-01-26,0,0,0,united-kingdom
2020-01-27,0,0,0,united-kingdom
2020-01-28,0,0,0,united-kingdom
2020-01-29,0,0,0,united-kingdom
2020-01-30,0,0,0,united-kingdom
2020-01-31,0,2,0,united-kingdom
2020-02-01,0,2,0,united-kingdom
2020-02-02,0,2,0,united-kingdom
2020-02-03,0,2,0,united-kingdom
2020-02-04,0,2,0,united-kingdom
2020-02-05,0,2,0,united-kingdom
2020-02-06,0,2,0,united-kingdom
2020-02-07,0,3,0,united-kingdom
2020-02-08,0,3,0,united-kingdom
2020-02-09,0,3,0,united-kingdom
2020-02-10,0,8,0,united-kingdom
2020-02-11,0,8,0,united-kingdom
2020-02-12,0,9,1,united-kingdom
2020-02-13,0,9,1,united-kingdom
2020-02-14,0,9,1,united-kingdom
2020-02-15,0,9,1,united-kingdom
2020-02-16,0,9,8,united-kingdom
2020-02-17,0,9,8,united-kingdom
2020-02-18,0,9,8,united-kingdom
2020-02-19,0,9,8,united-kingdom
2020-02-20,0,9,8,united-kingdom
2020-02-21,0,9,8,united-kingdom
2020-02-22,0,9,8,united-kingdom
2020-02-23,0,9,8,united-kingdom
2020-02-24,0,13,8,united-kingdom
2020-02-25,0,13,8,united-kingdom
2020-02-26,0,13,8,united-kingdom
2020-02-27,0,15,8,united-kingdom
2020-02-28,0,20,8,united-kingdom
2020-02-29,0,23,8,united-kingdom
2020-03-01,0,36,8,united-kingdom
2020-03-02,0,40,8,united-kingdom
2020-03-03,0,51,8,united-kingdom
2020-03-04,0,85,8,united-kingdom
2020-03-05,1,115,8,united-kingdom
2020-03-06,2,163,8,united-kingdom
2020-03-07,2,206,18,united-kingdom
2020-03-08,3,273,18,united-kingdom
2020-03-09,4,321,18,united-kingdom
2020-03-10,6,382,18,united-kingdom
2020-03-11,8,456,18,united-kingdom
2020-03-12,8,456,18,united-kingdom
2020-03-13,8,798,18,united-kingdom
2020-03-14,21,1140,18,united-kingdom
2020-03-15,21,1140,18,united-kingdom
2020-03-16,55,1543,20,united-kingdom
2020-03-17,55,1950,52,united-kingdom
2020-03-18,71,2626,65,united-kingdom
2020-03-19,137,2689,65,united-kingdom
2020-03-20,177,3983,65,united-kingdom
2020-03-21,233,5018,65,united-kingdom
2020-03-22,281,5683,65,united-kingdom
2020-03-23,335,6650,65,united-kingdom
2020-03-24,422,8077,135,united-kingdom
2020-03-25,465,9529,135,united-kingdom
2020-03-26,578,11658,135,united-kingdom
2020-03-27,759,14543,135,united-kingdom
2020-03-28,1019,17089,135,united-kingdom
2020-03-29,1228,19522,135,united-kingdom
2020-03-30,1408,22141,135,united-kingdom
2020-03-31,1789,25150,135,united-kingdom
2020-04-01,2352,29474,135,united-kingdom
2020-04-02,2921,33718,135,united-kingdom
2020-04-03,3605,38168,135,united-kingdom
2020-04-04,4313,41903,135,united-kingdom
2020-04-05,4934,47806,135,united-kingdom
2020-04-06,5373,51608,135,united-kingdom
2020-04-07,6159,55242,135,united-kingdom
2020-04-08,7097,60733,135,united-kingdom
2020-04-09,7978,65077,135,united-kingdom
2020-04-10,8958,73758,344,united-kingdom
2020-04-11,9875,78991,344,united-kingdom
