Date,recovered,confirmed,deaths,country
2020-01-22,0,0,0,united-states
2020-01-23,0,1,0,united-states
2020-01-24,0,2,0,united-states
2020-01-25,0,2,0,united-states
2020-01-26,0,5,0,united-states
2020-01-27,0,5,0,united-states
2020-01-28,0,5,0,united-states
2020-01-29,0,5,0,united-states
2020-01-30,0,5,0,united-states
2020-01-31,0,7,0,united-states
2020-02-01,0,8,0,united-states
2020-02-02,0,8,0,united-states
2020-02-03,0,11,0,united-states
2020-02-04,0,11,0,united-states
2020-02-05,0,11,0,united-states
2020-02-06,0,11,0,united-states
2020-02-07,0,11,0,united-states
2020-02-08,0,11,0,united-states
2020-02-09,3,11,0,united-states
2020-02-10,3,11,0,united-states
2020-02-11,3,12,0,united-states
2020-02-12,3,12,0,united-states
2020-02-13,3,13,0,united-states
2020-02-14,3,13,0,united-states
2020-02-15,3,13,0,united-states
2020-02-16,3,13,0,united-states
2020-02-17,3,13,0,united-states
2020-02-18,3,13,0,united-states
2020-02-19,3,13,0,united-states
2020-02-20,3,13,0,united-states
2020-02-21,5,15,0,united-states
2020-02-22,5,15,0,united-states
2020-02-23,5,15,0,united-states
2020-02-24,5,15,0,united-states
2020-02-25,6,15,0,united-states
2020-02-26,6,15,0,united-states
2020-02-27,6,16,0,united-states
2020-02-28,7,16,0,united-states
2020-02-29,7,24,1,united-states
2020-03-01,7,30,1,united-states
2020-03-02,7,53,6,united-states
2020-03-03,7,73,7,united-states
2020-03-04,7,104,11,united-states
2020-03-05,7,172,12,united-states
2020-03-06,7,217,14,united-states
2020-03-07,7,336,17,united-states
2020-03-08,7,450,21,united-states
2020-03-09,7,514,22,united-states
2020-03-10,8,708,28,united-states
2020-03-11,8,1105,32,united-states
2020-03-12,12,1557,40,united-states
2020-03-13,12,2147,48,united-states
2020-03-14,12,2857,52,united-states
2020-03-15,12,2918,60,united-states
2020-03-16,17,4307,84,united-states
2020-03-17,17,6096,107,united-states
2020-03-18,105,8873,143,united-states
2020-03-19,121,14094,209,united-states
2020-03-20,147,19403,258,united-states
2020-03-21,176,25725,318,united-states
2020-03-22,178,33634,427,united-states
2020-03-23,178,43663,552,united-states
2020-03-24,348,53736,706,united-states
2020-03-25,361,65778,942,united-states
2020-03-26,681,83836,1209,united-states
2020-03-27,869,101657,1581,united-states
2020-03-28,1072,121465,2181,united-states
2020-03-29,2665,140909,2565,united-states
2020-03-30,5644,161831,3102,united-states
2020-03-31,7024,188172,4037,united-states
2020-04-01,8474,213362,4992,united-states
2020-04-02,9001,243762,6291,united-states
2020-04-03,9707,275582,7746,united-states
2020-04-04,14652,308848,9132,united-states
2020-04-05,17448,337065,10411,united-states
2020-04-06,19581,366660,10783,united-states
2020-04-07,21763,396221,12721,united-states
2020-04-08,23559,429047,14694,united-states
2020-04-09,25410,461432,16477,united-states
2020-04-10,28790,496530,18581,united-states
2020-04-11,31270,526391,20457,united-states
2020-04-12,32988,555304,22014,united-states
2020-04-13,0,24244,1479,united-states
