Date,confirmed,deaths,recovered,country
2020-01-22,0,0,0,us
2020-01-23,1,0,0,us
2020-01-24,2,0,0,us
2020-01-25,2,0,0,us
2020-01-26,5,0,0,us
2020-01-27,5,0,0,us
2020-01-28,5,0,0,us
2020-01-29,5,0,0,us
2020-01-30,5,0,0,us
2020-01-31,7,0,0,us
2020-02-01,8,0,0,us
2020-02-02,8,0,0,us
2020-02-03,11,0,0,us
2020-02-04,11,0,0,us
2020-02-05,11,0,0,us
2020-02-06,11,0,0,us
2020-02-07,11,0,0,us
2020-02-08,11,0,0,us
2020-02-09,11,0,3,us
2020-02-10,11,0,3,us
2020-02-11,12,0,3,us
2020-02-12,12,0,3,us
2020-02-13,13,0,3,us
2020-02-14,13,0,3,us
2020-02-15,13,0,3,us
2020-02-16,13,0,3,us
2020-02-17,13,0,3,us
2020-02-18,13,0,3,us
2020-02-19,13,0,3,us
2020-02-20,13,0,3,us
2020-02-21,15,0,5,us
2020-02-22,15,0,5,us
2020-02-23,15,0,5,us
2020-02-24,15,0,5,us
2020-02-25,15,0,6,us
2020-02-26,15,0,6,us
2020-02-27,16,0,6,us
2020-02-28,16,0,7,us
2020-02-29,24,1,7,us
2020-03-01,30,1,7,us
2020-03-02,53,6,7,us
2020-03-03,73,7,7,us
2020-03-04,104,11,7,us
2020-03-05,172,12,7,us
2020-03-06,217,14,7,us
2020-03-07,336,17,7,us
2020-03-08,450,21,7,us
2020-03-09,514,22,7,us
2020-03-10,708,28,8,us
2020-03-11,1105,32,8,us
2020-03-12,1557,40,12,us
2020-03-13,2147,48,12,us
2020-03-14,2857,52,12,us
2020-03-15,2918,60,12,us
2020-03-16,4307,84,17,us
2020-03-17,6096,107,17,us
2020-03-18,8873,143,105,us
2020-03-19,14094,209,121,us
2020-03-20,19403,258,147,us
2020-03-21,25725,318,176,us
2020-03-22,33634,427,178,us
2020-03-23,43663,552,178,us
2020-03-24,53736,706,348,us
2020-03-25,65778,942,361,us
2020-03-26,83836,1209,681,us
2020-03-27,101657,1581,869,us
2020-03-28,121465,2181,1072,us
2020-03-29,140909,2565,2665,us
2020-03-30,161831,3102,5644,us
2020-03-31,188172,4037,7024,us
2020-04-01,213362,4992,8474,us
2020-04-02,243762,6291,9001,us
2020-04-03,275582,7746,9707,us
2020-04-04,308848,9132,14652,us
2020-04-05,337065,10411,17448,us
2020-04-06,366660,10783,19581,us
2020-04-07,396221,12721,21763,us
2020-04-08,429047,14694,23559,us
2020-04-09,461432,16477,25410,us
2020-04-10,496530,18581,28790,us
2020-04-11,526391,20457,31270,us
2020-04-12,555304,22014,32988,us
2020-04-13,24244,1479,0,us
